BENCHMARK:           RUN 1 (SEQ-CUT = 50)              RUN 2 (SEQ-CUT = 100)             RUN 3 (SEQ-CUT = 150)               RUN 4 (SEQ-CUT = 200)           RUN 5 (SEQ-CUT = 250)                                                             
1 200 X 200 (WM)           1048.493                           1062.003                           1055.533                           1259.979                           1282.926                           
2 300 X 300 (WM)           2031.202                           1990.295                           2188.709                           2211.480                           2222.718                           
3 400 X 400 (WM)           3160.985                           3250.110                           3264.074                           4285.105                           4278.481                           
4 500 X 500 (WM)           4694.389                           4652.947                           4987.096                           4978.711                           7272.662                           
5 600 X 600 (WM)           7366.280                           7192.434                           8294.018                           8263.170                           8423.834                           
6 700 X 700 (WM)           10247.519                          9891.565                           9874.579                           11716.275                          11729.224                          
7 200 X 200 (WG)           1640.081                           1642.516                           1642.001                           1926.475                           1934.809                           
8 300 X 300 (WG)           3581.650                           3421.932                           3825.434                           3734.751                           3820.830                           
9 400 X 400 (WG)           5688.963                           5878.857                           5841.522                           7653.972                           7707.961                           
10 500 X 500 (WG)           8922.240                           8961.056                           9562.323                           9422.725                           13768.147                          
11 600 X 600 (WG)           14193.592                          13580.112                          14426.291                          14564.574                          14401.974                          
12 700 X 700 (WG)           18954.907                          18490.907                          18057.366                          21193.016                          21354.334                          
13 200 X 200 (DM)           177.673                            173.716                            170.339                            188.444                            191.291                            
14 300 X 300 (DM)           272.791                            274.292                            303.177                            288.300                            288.018                            
15 400 X 400 (DM)           264.336                            261.205                            283.107                            328.470                            334.149                            
16 500 X 500 (DM)           306.156                            312.320                            350.124                            350.715                            436.275                            
17 600 X 600 (DM)           453.181                            496.461                            540.740                            521.540                            510.275                            
18 700 X 700 (DM)           585.005                            610.678                            618.584                            638.772                            630.747                            
19 200 X 200 (DG)           180.959                            171.915                            170.611                            187.377                            192.238                            
20 300 X 300 (DG)           228.939                            221.578                            228.793                            231.433                            225.055                            
21 400 X 400 (DG)           284.061                            282.432                            267.617                            320.848                            313.697                            
22 500 X 500 (DG)           316.610                            337.513                            362.641                            342.693                            418.147                            
23 600 X 600 (DG)           418.842                            398.557                            414.109                            430.543                            451.583                            
24 700 X 700 (DG)           511.788                            479.606                            460.221                            481.838                            530.390                            
