BENCHMARK:           RUN 1 (SEQ-CUT = 50)              RUN 2 (SEQ-CUT = 100)             RUN 3 (SEQ-CUT = 150)        	          RUN 4 (SEQ-CUT = 200)           RUN 5 (SEQ-CUT = 250)               
1 200 X 200 (WM)           1066.591                           2399.099                           2312.830               	            2447.686                           2308.176                           
2 300 X 300 (WM)           5346.820                           2415.500                           4408.964                       	    5684.498                           5693.420                           
3 400 X 400 (WM)           11552.761                          4777.402                           12133.599                          	11320.062                          7968.607                           
4 500 X 500 (WM)           7787.193                           7470.269                           7787.934                           	   7441.070                           7466.631                           
5 600 X 600 (WM)           14083.954                          14200.662                          13482.295                          13990.168                          13433.771                          
6 700 X 700 (WM)           22675.060                          22115.027                          21596.344                          21657.514                          22306.699                          
7 200 X 200 (WG)           1593.214                           1535.703                           1579.923                           1558.250                           1639.473                           
8 300 X 300 (WG)           3979.450                           3829.313                           3998.918                           4182.697                           3785.979                           
9 400 X 400 (WG)           8536.555                           8559.845                           8158.750                           8588.704                           8293.334                           
10 500 X 500 (WG)           14095.187                          14203.331                          14549.130                          14072.688                          14240.246                          
11 600 X 600 (WG)           24152.519                          24511.614                          24709.626                          29540.300                          31326.932                          
12 700 X 700 (WG)           53978.237                          49838.338                          48807.921                          48299.456                          61011.396                          
13 200 X 200 (DM)           382.566                            432.227                            367.574                            374.352                            387.337                            
14 300 X 300 (DM)           765.584                            728.094                            685.864                            427.698                            407.257                            
15 400 X 400 (DM)           490.914                            492.134                            492.964                            563.047                            477.027                            
16 500 X 500 (DM)           679.140                            645.288                            635.307                            670.517                            626.262                            
17 600 X 600 (DM)           1074.327                           1053.872                           1014.397                           1059.581                           1208.719                           
18 700 X 700 (DM)           1612.302                           1788.799                           1411.979                           1723.225                           3099.507                           
19 800 X 800 (DM)           2842.091                           3197.981                           3027.062                           3344.401                           2934.174                           
20 900 X 900 (DM)           2257.525                           4548.684                           4485.126                           4917.919                           4555.481                           
21 200 X 200 (DG)           579.007                            468.132                            313.102                            494.022                            588.022                            
22 300 X 300 (DG)           956.120                            902.321                            1031.139                           830.177                            826.987                            
23 400 X 400 (DG)           1037.250                           524.005                            442.486                            892.493                            1047.200                           
24 500 X 500 (DG)           1575.231                           1394.429                           1792.107                           1890.419                           1805.056                           
25 600 X 600 (DG)           1432.518                           2009.881                           2185.571                           2075.245                           2023.107                           
26 700 X 700 (DG)           2504.581                           2570.582                           2612.568                           1980.274                           2375.361                           
