BENCHMARK:                  RUN 1:                             RUN 2:                             RUN 3:                             RUN 4:                             RUN 5:                  
1 200 X 200 (WM)           971.525                            983.682                            976.386                            962.049                            978.460                            
2 300 X 300 (WM)           2730.810                           2734.619                           2762.843                           2791.814                           2740.503                           
3 400 X 400 (WM)           6312.665                           6343.914                           6435.804                           6267.008                           6280.720                           
4 500 X 500 (WM)           12041.732                          11768.095                          11934.707                          11892.056                          11904.656                          
5 600 X 600 (WM)           23199.905                          22887.157                          23195.166                          23124.212                          22975.941                          
6 700 X 700 (WM)           34628.407                          38751.622                          34746.216                          34329.326                          34672.231                          
7 200 X 200 (WG)           1482.615                           1479.466                           1518.672                           1429.783                           1441.324                           
8 300 X 300 (WG)           4828.780                           4853.045                           4814.675                           4821.095                           4822.646                           
9 400 X 400 (WG)           11631.750                          11547.423                          11525.341                          11566.345                          11443.554                          
10 500 X 500 (WG)           22851.261                          22804.494                          22808.971                          22691.241                          22641.170                          
11 600 X 600 (WG)           39491.367                          39418.448                          39429.977                          39573.740                          39466.956                          
12 700 X 700 (WG)           62614.281                          62554.037                          62907.471                          62578.745                          62794.810                          
13 200 X 200 (DM)           147.178                            149.970                            152.141                            145.796                            151.372                            
14 300 X 300 (DM)           338.678                            346.443                            356.732                            329.275                            333.167                            
15 400 X 400 (DM)           403.813                            400.505                            403.510                            503.886                            418.672                            
16 500 X 500 (DM)           612.644                            637.440                            613.366                            617.429                            613.770                            
17 600 X 600 (DM)           1100.801                           1105.304                           1112.914                           1124.091                           1097.207                           
18 700 X 700 (DM)           1470.120                           1473.282                           1475.775                           1468.541                           1466.832                           
19 200 X 200 (DG)           148.137                            149.480                            148.820                            151.457                            153.084                            
20 300 X 300 (DG)           257.030                            256.639                            252.970                            257.400                            255.621                            
21 400 X 400 (DG)           411.100                            404.383                            411.021                            411.707                            416.547                            
22 500 X 500 (DG)           592.851                            603.038                            592.293                            600.401                            596.885                            
23 600 X 600 (DG)           828.443                            840.523                            824.484                            838.649                            839.806                            
24 700 X 700 (DG)           1139.065                           1114.430                           1077.469                           1107.091                           1091.878                           
