BENCHMARK:		    RUN 1:				RUN 2:				  RUN: 3			     RUN 4:				RUN 5:							           
1 200 X 200 (WM)           2643.769                           2622.430                           2594.504                           2618.895                           2736.242                           
2 300 X 300 (WM)           8129.089                           7978.980                           7251.749                           7698.186                           8181.413                           
5 600 X 600 (WM)           54895.588                          63717.067                          56950.953                          63378.803                          59123.542                          
3 400 X 400 (WM)           16646.425                          17426.252                          17183.486                          16922.371                          16585.103                          
4 500 X 500 (WM)           29288.534                          28350.010                          25199.601                          22610.713                          28115.347                          
6 700 X 700 (WM)           87375.906                          85264.551                          72027.098                          85579.823                          89062.426                          
7 200 X 200 (WG)           3674.874                           4199.614                           4428.664                           4553.773                           4124.537                           
5 600 X 600 (WM)           55533.569                          58996.397                          61064.612                          61162.629                          61351.487                          
8 300 X 300 (WG)           14437.260                          11513.007                          13287.697                          12672.666                          13439.060                          
9 400 X 400 (WG)           30054.802                          32506.126                          30966.873                          31079.283                          29833.480                          
6 700 X 700 (WM)           90535.926                          91583.153                          87393.035                          89699.872                          90194.336                          
7 200 X 200 (WG)           3737.535                           3452.077                           3259.677                           2424.462                           2652.492                           
10 500 X 500 (WG)           59254.502                          59470.433                          59978.192                          55752.033                          49068.462                          
8 300 X 300 (WG)           9726.598                           8738.781                           7964.527                           10472.999                          9184.012                           
9 400 X 400 (WG)           26534.867                          27774.641                          22723.770                          21797.417                          24468.081                          
11 600 X 600 (WG)           83504.199                          80577.493                          84663.604                          88114.830                          85594.890                          
10 500 X 500 (WG)           49424.292                          52957.141                          52227.475                          51791.836                          40667.901                          
11 600 X 600 (WG)           80345.203                          71309.143                          70353.130                          72400.422                          71621.663                          
12 700 X 700 (WG)           123922.229                         110391.532                         115054.155                         108608.829                         127550.246                         
13 200 X 200 (DM)           408.385                            469.232                            512.905                            478.278                            402.889                            
14 300 X 300 (DM)           777.373                            1036.047                           1087.212                           1093.482                           974.178                            
15 400 X 400 (DM)           1286.240                           1305.492                           1276.039                           1058.390                           1064.557                           
16 500 X 500 (DM)           1891.403                           1907.474                           1795.260                           1768.365                           1996.268                           
17 600 X 600 (DM)           3261.473                           2742.511                           2983.186                           2814.093                           2976.776                           
18 700 X 700 (DM)           3795.156                           3934.341                           4166.535                           3784.295                           3854.545                           
19 800 X 800 (DM)           4269.809                           4216.259                           4141.732                           3991.056                           4073.701                           
20 900 X 900 (DM)           5929.903                           6563.828                           6826.772                           7066.116                           6759.623                           
21 200 X 200 (DG)           427.566                            375.525                            365.612                            451.396                            493.732                            
12 700 X 700 (WG)           113698.786                         156113.062                         162235.461                         159859.370                         170655.138                         
22 300 X 300 (DG)           792.895                            715.985                            796.698                            730.938                            775.103                            
13 200 X 200 (DM)           474.239                            522.486                            352.752                            379.879                            256.452                            
23 400 X 400 (DG)           1225.261                           1080.925                           912.605                            879.079                            878.281                            
14 300 X 300 (DM)           686.094                            846.087                            644.232                            637.345                            662.801                            
24 500 X 500 (DG)           1281.004                           1155.832                           1278.413                           1285.169                           1372.035                           
15 400 X 400 (DM)           942.686                            950.009                            935.208                            1027.314                           934.511                            
25 600 X 600 (DG)           1895.154                           1986.422                           1944.995                           1998.905                           1898.054                           
16 500 X 500 (DM)           1378.970                           1572.047                           1517.928                           1354.299                           1102.798                           
26 700 X 700 (DG)           2367.665                           2280.998                           2549.560                           2492.687                           2550.131                           
17 600 X 600 (DM)           2271.033                           2577.533                           2036.361                           2162.284                           2153.385                           
18 700 X 700 (DM)           3383.447                           3434.870                           3828.964                           2332.659                           2453.333                           
19 800 X 800 (DM)           2623.651                           2738.223                           2652.673                           2603.887                           2375.915                           
20 900 X 900 (DM)           6978.378                           4494.087                           4545.323                           4233.940                           4297.683                           
21 200 X 200 (DG)           220.603                            299.975                            267.818                            364.073                            343.437                            
22 300 X 300 (DG)           620.506                            674.137                            499.130                            457.441                            379.168                            
23 400 X 400 (DG)           715.711                            948.616                            695.919                            810.391                            930.887                            
24 500 X 500 (DG)           1054.494                           1280.364                           1323.231                           1080.304                           1178.488                           
25 600 X 600 (DG)           1767.187                           1423.447                           1601.736                           1324.269                           1529.473                           
26 700 X 700 (DG)           2010.381                           2071.236                           2140.328                           2205.418                           1901.690                           
